零件号,校验内容
A01-28040019,A01-28040019#
A01-41330011,A01-41330011#
A01-41330012,A01-41330012#
A01-50000027,A01-50000027#
A01-50000030,A01-50000030#
A01-50000031,A01-50000031#
A01-50000032,A01-50000032#
A01-50000033,A01-50000033#
A01-53060140,A01-53060140#
A01-54020015,A01-54020015#
A01-61070017,A01-61070017#
A01-89010008,A01-89010008#
D01-89320006,D01-89320006#
D01-89694103,D01-89694103#
LAA-20060011,LAA-20060011#
LAA-20070030,LAA-20070030#
LAA-20090014,LAA-20090014#
LAA-30130011,LAA-30130011#
LAA-35020013,LAA-35020013#
LAA-51011110,LAA-51011110#
LAA-51011111,LAA-51011111#
LAA-51040011CM07,LAA-51040011CM07#
LAA-56020033,LAA-56020033#
LAA-56020045,LAA-56020045#
LAA-56040011,LAA-56040011#
LAA-61051007,LAA-61051007#
LAA-70010013,LAA-70010013#
LAA-70010016,LAA-70010016#
LAA-70010021,LAA-70010021#
LAA-70010032,LAA-70010032#
LAA-70010037,LAA-70010037#
LAA-70010039,LAA-70010039#
LAA-70010040,LAA-70010040#
LAA-70040017,LAA-70040017#
LAA-70040023,LAA-70040023#
LAA-70050026,LAA-70050026#
LAA-71000027,LAA-71000027#
LAA-81010020,LAA-81010020#
LAA-81010021,LAA-81010021#
LAA-81010022,LAA-81010022#
LAA-81010023,LAA-81010023#
LAA-81020014,LAA-81020014#
LAA-81020015,LAA-81020015#
LAA-81020016,LAA-81020016#
LAA-81090015IX09,LAA-81090015IX09#
LAA-81090016,LAA-81090016#
LAA-81090017,LAA-81090017#
LAA-81090019,LAA-81090019#
LAA-81110020,LAA-81110020#
LAA-89146623,LAA-89146623#
LAA-89372078,LAA-89372078#
LAA-89398105,LAA-89398105#
LAC-10010013,LAC-10010013#
LAC-10010014,LAC-10010014#
LAC-10010015,LAC-10010015#
LAC-10010016,LAC-10010016#
LAC-10010025,LAC-10010025#
LAC-10030014,LAC-10030014#
LAC-10040013,LAC-10040013#
LAC-10040014,LAC-10040014#
LAC-51730014,LAC-51730014#
LAC-15010166,LAC-15010166#
LAC-15010167,LAC-15010167#
LAC-15010171,LAC-15010171#
LAC-20010012,LAC-20010012#
LAC-20010013,LAC-20010013#
LAC-20020011,LAC-20020011#
LAC-20020012,LAC-20020012#
LAC-20020015,LAC-20020015#
LAC-20020016,LAC-20020016#
LAC-20020019,LAC-20020019#
LAC-20020020,LAC-20020020#
LAC-20020023,LAC-20020023#
LAC-20020059,LAC-20020059#
LAC-20020060,LAC-20020060#
LAC-20020063,LAC-20020063#
LAC-20020064,LAC-20020064#
LAC-20020065,LAC-20020065#
LAC-20030019,LAC-20030019#
LAC-20030020,LAC-20030020#
LAC-20030037,LAC-20030037#
LAC-20030038,LAC-20030038#
LAC-20030048,LAC-20030048#
LAC-20030055,LAC-20030055#
LAC-20030056,LAC-20030056#
LAC-20030071,LAC-20030071#
LAC-20030072,LAC-20030072#
LAC-20040012,LAC-20040012#
LAC-20040013,LAC-20040013#
LAC-20040014,LAC-20040014#
LAC-20040015,LAC-20040015#
LAC-20040016,LAC-20040016#
LAC-20040017,LAC-20040017#
LAC-20040018,LAC-20040018#
LAC-20040019,LAC-20040019#
LAC-20040021,LAC-20040021#
LAC-20040022,LAC-20040022#
LAC-20040023,LAC-20040023#
LAC-20040024,LAC-20040024#
LAC-20040025,LAC-20040025#
LAC-20040038,LAC-20040038#
LAC-20040039,LAC-20040039#
LAC-20040040,LAC-20040040#
LAC-20040041,LAC-20040041#
LAC-20050013,LAC-20050013#
LAC-20050018,LAC-20050018#
LAC-20050021,LAC-20050021#
LAC-20060022,LAC-20060022#
LAC-20070013,LAC-20070013#
LAC-20070017,LAC-20070017#
LAC-20070024,LAC-20070024#
LAC-20070025,LAC-20070025#
LAC-20070026,LAC-20070026#
LAC-20070027,LAC-20070027#
LAC-20070028,LAC-20070028#
LAC-20070029,LAC-20070029#
LAC-20070030,LAC-20070030#
LAC-20070031,LAC-20070031#
LAC-20070032,LAC-20070032#
LAC-20070033,LAC-20070033#
LAC-20070034,LAC-20070034#
LAC-20070035,LAC-20070035#
LAC-20070051,LAC-20070051#
LAC-20090012,LAC-20090012#
LAC-20090014,LAC-20090014#
LAC-20090019,LAC-20090019#
LAC-21000013,LAC-21000013#
LAC-21000021,LAC-21000021#
LAC-21010011,LAC-21010011#
LAC-21050011,LAC-21050011#
LAC-21050012,LAC-21050012#
LAC-21050013,LAC-21050013#
LAC-21050014,LAC-21050014#
LAC-21050022,LAC-21050022#
LAC-21050027,LAC-21050027#
LAC-21050028,LAC-21050028#
LAC-21050030,LAC-21050030#
LAC-21050031,LAC-21050031#
LAC-21050033,LAC-21050033#
LAC-21230012,LAC-21230012#
LAC-21270014,LAC-21270014#
LAC-21270015,LAC-21270015#
LAC-21270016,LAC-21270016#
LAC-21270017,LAC-21270017#
LAC-21270020,LAC-21270020#
LAC-21270024,LAC-21270024#
LAC-21270025,LAC-21270025#
LAC-21270028,LAC-21270028#
LAC-21270029,LAC-21270029#
LAC-21270030,LAC-21270030#
LAC-22010011,LAC-22010011#
LAC-22010012,LAC-22010012#
LAC-22030011,LAC-22030011#
LAC-22030012,LAC-22030012#
LAC-51730015,LAC-51730015#
LAC-28030071,LAC-28030071#
LAC-28100011,LAC-28100011#
LAC-28100013,LAC-28100013#
LAC-29050011,LAC-29050011#
LAC-29050012,LAC-29050012#
LAC-29060012,LAC-29060012#
LAC-29060013,LAC-29060013#
LAC-29140011,LAC-29140011#
LAC-29140014,LAC-29140014#
LAC-29140015,LAC-29140015#
LAC-29140019,LAC-29140019#
LAC-29140020,LAC-29140020#
LAC-29160012,LAC-29160012#
LAC-29160013,LAC-29160013#
LAC-30010011,LAC-30010011#
LAC-30010012,LAC-30010012#
LAC-30010023,LAC-30010023#
LAC-30010024,LAC-30010024#
LAC-30010028,LAC-30010028#
LAC-30030011,LAC-30030011#
LAC-30040011,LAC-30040011#
LAC-30040014,LAC-30040014#
LAC-30050013,LAC-30050013#
LAC-30050015,LAC-30050015#
LAC-30050016,LAC-30050016#
LAC-30070011,LAC-30070011#
LAC-30070012,LAC-30070012#
LAC-30090013,LAC-30090013#
LAC-30100011,LAC-30100011#
